PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-15.7321,201.839,968,1496,1500,0,-1.03046,129.206,2.12112,0,0.952
-16.3306,200.948,969,1497,1500,0,-0.959329,129.078,2.12132,100,0.952
-17.3191,202.814,969,1496,1500,0,-0.941244,129.035,2.12346,200,0.952
-19.9366,203.218,968,1496,1500,0,-0.973794,128.946,2.12572,300,0.952
-11.7652,208.871,966,1505,1500,0,-1.01603,128.768,2.15037,401,0.952
-23.7666,200.77,967,1486,1500,0,-1.04041,128.29,2.12028,501,0.952
-24.3921,202.314,968,1495,1500,0,-1.17229,127.948,2.12454,601,0.952
-22.0964,207.7,969,1498,1500,0,-1.27001,127.763,2.14078,701,0.952
-18.2,211.098,970,1498,1500,0,-1.23483,128.101,2.14801,801,0.975
-20.5256,207.81,968,1494,1500,0,-1.0869,129.09,2.14359,901,0.975
-21.45,211.78,967,1495,1500,0,-1.18782,130.198,2.15606,1001,0.975
-22.6319,202.459,968,1495,1500,0,-1.61779,131.284,2.12373,1101,0.975
-4.85791,209.082,972,1514,1500,0,-1.43645,131.936,2.13204,1202,0.975
1.22593,215.116,977,1514,1500,0,-1.25208,133.073,2.12516,1302,0.975
12.9232,220.357,983,1511,1500,0,-1.13014,134.352,2.11974,1402,1.058
26.0492,219.606,988,1511,1500,0,-1.77718,135.142,2.10426,1502,1.073
39.7782,223.004,992,1517,1500,0,-2.36017,135.377,2.10345,1602,1.091
77.8245,221.008,997,1543,1500,0,-5.04821,134.245,2.0915,1702,1.105
96.113,221.893,1000,1529,1500,0,-7.21319,133.029,2.0849,1802,1.176
117.996,217.967,1002,1536,1500,0,-7.62926,131.551,2.07996,1902,1.199
139.8,209.479,1005,1539,1500,0,-5.41769,130.543,2.06819,2002,1.199
164.421,212.815,1010,1546,1500,0,-2.18585,129.4,2.09221,2102,1.204
163.387,224.268,1010,1546,1500,0,0.870911,129.148,2.11168,2202,1.209
155.982,230.38,1011,1517,1500,0,2.55638,129.023,2.09992,2302,1.227
157.967,246.184,1014,1526,1500,0,3.77135,129.503,2.10568,2402,1.251
160.204,249.925,1012,1526,1500,0,4.27614,130.561,2.10235,2502,1.251
167.502,252.99,1014,1532,1500,0,4.62988,131.832,2.10179,2602,1.265
192.733,250.444,1008,1551,1500,0,4.34773,133.743,2.09422,2702,1.27
207.262,251.213,1011,1545,1500,0,3.17897,134.992,2.08758,2802,1.27
225.91,252.062,1010,1551,1500,0,1.67186,135.448,2.08467,2902,1.274
246.443,245.211,1009,1556,1500,0,-0.591014,135.256,2.07497,3002,1.312
292.165,234.656,1007,1585,1500,0,-2.99954,134.813,2.06214,3102,1.316
315.136,224.787,996,1585,1500,0,-5.48609,134.407,2.07183,3202,1.335
331.592,211.975,981,1569,1500,0,-7.42308,134.579,2.08162,3302,1.344
343.248,195.222,949,1564,1500,0,-8.95789,135.621,2.1096,3402,1.344
335.197,190.866,943,1565,1500,0,-9.89935,136.39,2.14035,3502,1.344
317.787,181.656,965,1536,1500,0,-10.5302,136.855,2.13466,3602,1.344
298.386,185.981,948,1532,1500,0,-11.6089,136.828,2.13705,3702,1.344
250.702,182.266,955,1501,1500,0,-11.3616,136.243,2.13993,3802,1.344
222.859,187.101,980,1514,1500,0,-10.1468,135.414,2.14099,3902,1.363
189.017,195.387,986,1504,1500,0,-9.28868,135.758,2.1359,4002,1.4
152.018,205.87,995,1504,1500,0,-9.10759,136.862,2.13115,4102,1.4
119.415,212.825,997,1496,1500,0,-9.81438,138.728,2.11696,4202,1.4
68.0675,225.03,1003,1471,1500,0,-8.92519,139.915,2.10171,4302,1.405
49.81,230.719,1008,1497,1500,0,-8.06754,140.965,2.11246,4402,1.405
30.7266,236.155,1003,1493,1500,0,-8.25359,141.558,2.11688,4502,1.405
-9.84785,239.914,997,1469,1500,0,-7.90733,141.378,2.12395,4602,1.405
-33.5775,237.417,994,1480,1500,0,-7.56327,140.939,2.12354,4702,1.405
-56.4708,232.266,987,1477,1500,0,-8.23751,140.188,2.13528,4802,1.405
-108.865,227.386,970,1477,1500,0,-7.98793,139.67,2.1343,4902,1.405
-137.818,223.302,961,1444,1500,0,-6.74576,138.786,2.13843,5002,1.461
-198.709,226.26,946,1423,1500,0,-5.35535,138.228,2.17353,5103,1.466
-229.617,216.882,943,1444,1500,0,-4.67455,138.398,2.17152,5203,1.471
-254.627,210.14,939,1443,1500,0,-3.53947,138.671,2.17332,5304,1.485
-281.375,204.837,933,1439,1500,0,-2.48704,139.81,2.17401,5404,1.485
-322.103,199.183,926,1439,1500,0,0.190161,140.1,2.16527,5504,1.513
-340.151,193.099,926,1420,1500,0,2.11345,140.491,2.16184,5604,1.536
-347.141,172.739,925,1445,1500,0,4.77934,141.346,2.1396,5704,1.602
-363.279,160.389,926,1444,1500,0,6.32801,141.708,2.11517,5804,1.654
-365.984,158.29,924,1434,1500,0,6.77365,142.308,2.10928,5904,1.658
-367.44,164.926,934,1445,1500,0,7.11221,143.228,2.12006,6004,1.658
-369.024,175.851,944,1445,1500,0,6.42989,143.374,2.11452,6104,1.658
-355.263,197.354,961,1444,1500,0,5.98719,143.199,2.12193,6204,1.658
-352.208,215.164,982,1450,1500,0,6.546,142.537,2.1312,6304,1.649
-340.029,227.599,988,1460,1500,0,6.76672,142.13,2.13208,6404,1.649
-331.668,233.865,1002,1457,1500,0,6.86766,141.52,2.12702,6504,1.654
-321.846,235.09,1007,1460,1500,0,6.62178,139.862,2.10349,6605,1.654
-320.325,265.056,1027,1453,1500,0,5.26155,138.925,2.12292,6705,1.654
-320.993,285.44,1040,1452,1500,0,4.90423,138.109,2.14595,6805,1.654
-307.637,297.975,1050,1464,1500,0,4.31081,137.606,2.16032,6905,1.663
-292.25,308.63,1069,1468,1500,0,3.79437,137.016,2.13697,7005,1.677
-287.372,318.101,1073,1467,1500,0,3.5725,137.141,2.15115,7106,1.663
-276.399,320.057,1078,1466,1500,0,3.44006,137.598,2.13361,7206,1.668
-263.542,321.141,1080,1469,1500,0,3.27081,138.574,2.12305,7306,1.696
-235.923,322.602,1082,1469,1500,0,3.87682,139.953,2.11866,7406,1.696
-219.961,326.467,1079,1478,1500,0,3.88784,141.239,2.12699,7506,1.709
-200.99,319.952,1078,1483,1500,0,5.32366,142.129,2.11582,7606,1.714
-161.965,317.105,1071,1483,1500,0,5.78731,142.026,2.11788,7706,1.714
-147.25,316.975,1075,1505,1500,0,5.98036,141.228,2.10408,7806,1.723
-112.313,324.109,1080,1509,1500,0,6.57221,140.389,2.10538,7906,1.751
-91.7721,330.674,1077,1509,1500,0,6.54017,139.29,2.09324,8006,1.751
-69.5161,333.188,1084,1505,1500,0,6.38388,138.52,2.08069,8106,1.765
-43.7139,339.204,1088,1505,1500,0,6.20393,137.411,2.07797,8206,1.794
