PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-521.676,115.814,2985,1366,1605,0,6.04543,-148.983,27.4103,0,0
-550.77,146.86,2925,1397,1605,0,10.1373,-149.425,26.9676,100,0
-523.688,0.327406,2956,1442,1605,0,8.3169,-149.153,26.5142,200,0
-570.769,-8.86416,2672,1441,1605,0,4.6943,-149.085,26.6314,300,0
-603.466,58.2263,3005,1371,1605,0,5.49868,-149.462,27.1348,400,0
-615.328,181.005,3018,1393,1500,0,8.73462,-149.722,27.5387,500,0
-611.575,164.272,3007,1407,1500,0,8.04879,-148.434,27.2022,600,0
-599.897,136.485,3061,1406,1500,0,7.51792,-147.427,27.4029,700,0
-600.913,128.938,3061,1414,1605,0,7.42146,-146.802,27.3743,800,0
-593.486,150.517,3070,1411,1500,0,6.68192,-146.03,27.3958,900,0
-567.546,158.399,3103,1430,1500,0,6.79252,-145.804,27.3385,1000,0
