PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time
91.481,380.379,1071,1518,1500,0,-1.14883,154.723,2.03557,1
96.9715,380.073,1071,1524,1500,0,-0.663197,154.635,2.02544,101
103.349,396.29,1085,1519,1500,0,-0.352268,154.399,2.04203,201
103.476,408.998,1099,1516,1395,0,-0.492664,153.47,2.04712,301
98.5949,417.836,1113,1511,1395,0,-0.906397,153.007,2.03412,401
102.097,433.283,1138,1511,1395,0,-1.20687,152.418,2.04219,501
102.764,446.104,1158,1516,1395,0,-1.20687,152.418,2.05153,601
96.9436,473.24,1175,1510,1395,0,-1.19746,150.012,2.06436,701
92.6173,482.317,1185,1510,1395,0,-1.19746,150.012,2.072,801
84.9207,499.175,1201,1507,1395,0,-1.40905,145.072,2.10733,901
65.0809,502.756,1213,1507,1395,0,-1.5536,143.413,2.10802,1001
43.084,518.021,1224,1488,1395,0,-1.33337,142.242,2.17261,1102
28.0771,524.366,1225,1492,1395,0,-1.55472,141.878,2.18981,1202
-445.868,225.845,945,1492,1395,0,-1.1968,149.544,2.17554,3659
-460.983,157.999,905,1492,1395,0,-1.1968,149.544,2.15441,3759
-479.429,109.803,841,1492,1395,0,-1.1968,149.544,2.14726,3859
-480.167,75.5853,801,1412,1605,0,14.6772,155.853,2.1076,3959
-473.632,7.89929,717,1433,1605,0,7.75392,155.675,2.1689,4059
-441.162,-14.445,699,1460,1605,0,3.81592,154.485,2.15687,4159
-402.491,9.37163,768,1459,1605,0,2.41459,154.23,2.10721,4259
-350.818,19.6922,797,1489,1605,0,1.42084,153.676,2.09145,4360
-250.785,73.2385,824,1489,1605,0,1.42084,153.676,2.09207,4460
-191.779,101.078,855,1518,1605,0,-0.719602,156.529,2.08475,4560
-90.9826,171.27,933,1569,1500,0,-1.23669,159.849,2.05072,4660
-44.8421,202.709,968,1569,1500,0,-3.59094,161.679,2.04725,4760
4.73054,231.324,1005,1540,1500,0,-4.06562,161.953,2.03108,4860
49.7286,255.674,1026,1540,1500,0,-3.32332,161.828,2.04972,4960
83.5439,275.53,1054,1538,1500,0,-2.08448,161.31,2.04455,5060
101.118,287.947,1070,1527,1500,0,-1.95812,161.175,2.05073,5160
135.964,316.133,1093,1527,1500,0,-1.91939,161.051,2.05375,5260
143.405,320.784,1100,1525,1500,0,-1.91939,161.051,2.05293,5360
152.893,330.842,1100,1525,1500,0,-1.91939,161.051,2.07521,5460
147.146,275.735,1038,1529,1500,0,1.40913,165.596,2.08383,5560
144.799,260.128,1025,1529,1500,0,1.40913,165.596,2.07646,5660
151.635,271.069,1011,1526,1500,0,1.35965,168.71,2.14031,5760
157.222,263.752,974,1526,1500,0,1.91851,168.882,2.15053,5861
158.489,262.351,947,1523,1500,0,1.1854,168.437,2.1613,5961
157.609,262.362,969,1523,1500,0,1.05139,167.9,2.15623,6061
166.77,232.474,905,1521,1500,0,0.519275,156.187,2.01973,7576
160.791,243.984,921,1531,1500,0,0.291825,154.78,2.01943,7676
158.91,260.934,939,1518,1500,0,0.291825,154.78,2.02342,7776
157.5,276.873,938,1521,1500,0,0.0381332,153.643,2.03561,7876
148.214,290.15,955,1513,1500,0,0.413611,153.725,2.01544,7976
144.957,306.918,973,1513,1500,0,0.413611,153.725,2.03235,8076
145.826,331.33,984,1522,1500,0,0.413611,153.725,2.05089,8176
135.551,356.13,1024,1511,1500,0,-0.851585,155.895,2.02728,8276
130.549,377.205,1057,1511,1500,0,-0.550499,156.736,2.03512,8376
122.853,397.91,1064,1511,1500,0,-0.550499,156.736,2.04498,8476
107.114,411.095,1086,1503,1395,0,-0.577094,157.503,2.04376,8576
90.9804,437.958,1116,1503,1395,0,-0.577094,157.503,2.05877,8676
76.9448,453.267,1128,1500,1395,0,-0.577094,157.503,2.06278,8776
65.593,468.735,1153,1500,1395,0,-0.577094,157.503,2.08104,8876
51.057,477.415,1171,1496,1395,0,-0.924104,154.405,2.0693,8976
27.3343,490.367,1194,1484,1395,0,-1.19597,153.748,2.09133,9076
8.81551,492.814,1197,1484,1395,0,-0.695511,151.992,2.09529,9176
-15.7789,494.836,1201,1477,1395,0,-0.777355,151.685,2.10796,9276
-45.074,494.159,1196,1469,1395,0,-0.279902,147.844,2.10465,9377
-108.832,484.404,1193,1468,1395,0,0.678914,145.14,2.12706,9477
-140.915,479.576,1157,1452,1395,0,0.811617,144.719,2.16077,9577
-181.24,473.897,1135,1452,1395,0,0.811617,144.719,2.18808,9677
402.641,55.9681,733,1438,1395,0,4.50587,156.372,2.03391,12063
480.845,64.1067,763,1750,1605,0,4.90013,160.52,2.17792,12163
467.354,74.822,751,1559,1605,0,-7.24681,161.333,2.11727,12263
463.933,48.3411,693,1568,1605,0,-9.74617,159.524,2.12668,12363
448.729,-30.2312,664,1568,1605,0,-9.74617,159.524,2.26501,12463
415.221,-49.4092,696,1536,1605,0,-9.74617,159.524,2.28958,12563
345.936,-80.1893,603,1536,1605,0,-9.74617,159.524,2.25183,12663
309.387,-144.307,540,1536,1605,0,-9.74617,159.524,2.09491,12763
269.728,-162.127,487,1536,1605,0,-9.74617,159.524,2.08729,12864
225.837,-172.145,455,1536,1605,0,-9.74617,159.524,2.07669,12964
