PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
19.5214,194.624,891,1490,1500,0,-0.11102,151.913,1.77292,0,0
23.9212,204.961,888,1508,1500,0,-0.0246657,153.33,1.79646,100,0
27.3489,199.672,886,1507,1500,0,-0.605214,154.623,1.77319,200,0
40.423,210.483,891,1517,1500,0,-0.457092,155.783,1.79829,300,0
52.9001,187.58,869,1517,1500,0,-0.165232,156.468,1.79044,400,0
67.1906,182.75,864,1517,1500,0,0.0487189,156.507,1.7983,500,0
81.3048,160.067,850,1524,1500,0,0.45242,155.927,1.80629,600,0
92.9571,154.309,843,1524,1500,0,0.536428,153.94,1.81209,700,0
107,146.586,834,1528,1605,0,0.281897,152.693,1.81347,800,0
124.479,154.035,829,1528,1605,0,0.72789,151.316,1.84741,900,0
143.009,146.537,833,1537,1605,0,0.371397,149.942,1.83809,1000,0
160.06,144.818,836,1539,1605,0,-0.902452,149.42,1.83176,1100,0
222.056,108.805,861,1539,1605,0,-1.49931,149.417,1.72026,1200,0
236.227,88.7767,831,1548,1605,0,-1.56067,150.103,1.64934,1300,0
278.485,141.507,854,1549,1605,0,-2.30228,151.715,1.7425,1401,0
305.312,140.318,845,1570,1605,0,-2.57646,152.947,1.72153,1502,0
334.782,154.956,857,1577,1500,0,-4.62003,154.853,1.75389,1602,0
364.928,156.453,847,1577,1500,0,-5.34107,156.056,1.75315,1702,0
385.365,150.12,823,1578,1500,0,-5.26162,156.569,1.76639,1802,0
403.718,142.057,799,1579,1605,0,-5.12903,157.017,1.76575,1902,0
425.334,116.686,796,1579,1605,0,-4.82276,156.955,1.78848,2002,0
424.04,110.352,802,1566,1605,0,-3.84919,156.009,1.80032,2103,0
418.665,94.7056,779,1567,1605,0,-2.48417,154.19,1.79803,2203,0
411.724,99.8539,779,1560,1605,0,-2.03615,152.649,1.79287,2303,0
407.295,105.811,771,1560,1605,0,-1.51179,151.877,1.77969,2404,0
392.745,111.532,792,1552,1605,0,-1.6316,148.894,1.87397,2504,0
386.476,149.914,824,1558,1605,0,-1.69486,146.296,1.77405,2604,0
379.285,165.044,843,1559,1605,0,-2.16491,145.513,1.75808,2704,0
381.435,184.494,875,1565,1500,0,-2.5225,145.652,1.78418,2804,0
377.615,200.785,900,1560,1500,0,-3.03838,146.41,1.77401,2904,0
367.782,236.758,951,1554,1500,0,-2.90004,146.682,1.76722,3004,0
364.06,250.441,974,1559,1500,0,-2.3745,146.431,1.7649,3104,0
350.229,256.916,988,1549,1500,0,-2.35856,145.659,1.75321,3204,0
342.624,279.506,1003,1553,1500,0,-2.17406,144.973,1.77897,3304,0
311.84,292.144,1014,1529,1500,0,-2.2611,143.912,1.736,3404,0
303.62,290.766,996,1529,1500,0,-1.07425,142.871,1.75021,3504,0
283.586,281.729,996,1535,1500,0,-0.821131,141.647,1.72017,3604,0
272.853,284.419,1004,1535,1500,0,-0.937394,140.387,1.74083,3704,0
275.47,300.446,1014,1541,1500,0,-1.36211,138.954,1.89015,3804,0
253.08,310.238,1010,1541,1500,0,-2.18701,138.041,1.87506,3904,0
260.078,262.1,995,1529,1500,0,-1.66126,136.103,1.85803,4004,0
234.147,228.533,977,1524,1500,0,-2.02632,133.827,1.79366,4104,0
213.25,209.516,955,1525,1500,0,-2.02632,133.827,1.80837,4204,0
199.627,200.995,962,1525,1500,0,-1.36984,132.104,1.80711,4304,0
180.823,198.653,939,1522,1500,0,-0.866204,131.231,1.82701,4404,0
163.459,210.727,947,1522,1500,0,-0.56264,130.942,1.86399,4504,0
160.105,179.045,934,1533,1500,0,-0.773103,131.355,1.78139,4604,0
139.074,176.662,932,1514,1500,0,-0.773103,131.355,1.76369,4704,0
119.23,168.596,921,1515,1500,0,-0.773103,131.355,1.74433,4804,0
103.466,167.601,919,1514,1500,0,-1.61762,139.312,1.73389,4904,0
67.8743,226.149,907,1492,1500,0,-1.61762,139.312,1.89511,5004,0
22.0751,206.96,915,1492,1500,0,-1.50415,146.763,1.8192,5104,0
-5.87524,223.698,916,1487,1500,0,-1.51882,152.625,1.84475,5204,0
-37.3831,214.456,892,1487,1500,0,-1.27679,154.714,1.82438,5304,0
-85.2297,203.13,899,1458,1500,0,-0.997259,155.241,1.76728,5404,0
-149.373,210.258,920,1435,1500,0,0.86088,155.548,1.76808,5504,0
-182.099,186.883,931,1435,1500,0,2.35743,155.167,1.73955,5604,0
-211.801,179.779,905,1454,1500,0,3.49793,153.503,1.72774,5704,0
-232.423,213.594,908,1454,1500,0,2.23912,151.884,1.83294,5804,0
-242.438,244.551,928,1458,1500,0,1.51873,150.725,1.94504,5904,0
-289.379,259.928,938,1427,1500,0,1.31513,149.936,1.87816,6004,0
-299.988,272.342,972,1456,1500,0,5.12723,148.313,1.88603,6104,0
-316.656,286.831,964,1448,1500,0,4.04757,148.011,1.91445,6204,0
-350.436,278.291,946,1448,1500,0,4.04757,148.011,1.90011,6305,0
-355.335,284.802,955,1452,1500,0,2.58233,149.455,1.88893,6405,0
-346.618,298.364,973,1464,1500,0,2.58233,149.455,1.90391,6505,0
-340.519,305.793,977,1464,1500,0,0.66991,150.754,1.88743,6605,0
-327.483,314.8,1017,1470,1500,0,0.66991,150.754,1.87501,6705,0
-310.939,331.256,1012,1475,1500,0,0.66991,150.754,1.89415,6805,0
-308.616,338.631,1034,1475,1500,0,0.66991,150.754,1.90664,6905,0
-310.654,332.379,1025,1459,1500,0,0.66991,150.754,1.87063,7006,0
-298.945,358.404,1070,1459,1500,0,0.214115,150.647,1.90986,7106,0
-318.167,346.73,1074,1443,1500,0,0.214115,150.647,1.82753,7206,0
-315.753,369.657,1081,1443,1500,0,0.214115,150.647,1.8876,7307,0
-323.694,370.827,1080,1443,1500,0,0.214115,150.647,1.88397,7407,0
-350.396,363.059,1081,1430,1500,0,0.214115,150.647,1.84626,7507,0
-351.307,363.258,1055,1430,1500,0,4.35609,151.368,1.83477,7607,0
-352.074,361.509,1066,1451,1500,0,4.81288,151.249,1.83183,7707,0
-350.397,352.12,1045,1453,1500,0,3.05459,150.44,1.8191,7807,0
-315.929,359.235,1072,1453,1500,0,3.18201,148.853,1.84048,7913,0
-300.21,363.017,1062,1486,1500,0,3.18201,148.853,1.82804,8013,0
-279.146,340.172,1080,1472,1500,0,1.12461,145.337,1.75418,8113,0
-261.911,375.874,1088,1479,1500,0,0.594482,144.226,1.80341,8213,0
-238.846,370.828,1092,1479,1500,0,0.0962287,143.847,1.79899,8313,0
-212.579,350.043,1093,1493,1500,0,-0.400692,144.335,1.74376,8413,0
-228.008,328.888,1081,1455,1500,0,-0.45803,145.362,1.64456,8513,0
-178.054,343.063,1070,1455,1500,0,1.01691,147.239,1.7106,8613,0
-160.553,363.205,1063,1493,1500,0,1.33529,148.562,1.79141,8713,0
-154.072,369.991,1063,1493,1500,0,0.726318,151.955,1.80317,8813,0
-139.845,360.347,1056,1493,1500,0,0.953298,152.664,1.76426,8913,0
-125.178,371.952,1063,1493,1500,0,0.512927,153.538,1.7805,9013,0
-113.159,370.207,1074,1495,1500,0,1.01194,153.332,1.76975,9113,0
-105.375,377.853,1081,1492,1500,0,0.920236,152.921,1.77997,9213,0
-97.6164,378.435,1079,1492,1500,0,1.17468,152.461,1.78891,9313,0
-92.0555,376.402,1084,1492,1500,0,1.02937,151.379,1.77497,9413,0
-68.6977,380.442,1071,1511,1500,0,0.0466219,150.924,1.78965,9513,0
-63.2985,366.688,1052,1511,1500,0,-0.0471307,150.855,1.77082,9613,0
-39.3957,347.004,1036,1516,1500,0,-0.292852,151.194,1.74655,9713,0
-31.3754,351.007,1021,1516,1500,0,0.210625,151.358,1.7885,9813,0
-18.994,339.166,1025,1509,1500,0,0.610844,151.726,1.79382,9913,0
-7.78408,323.424,1015,1510,1500,0,0.637595,151.739,1.80274,10013,0
-3.09459,313.423,991,1509,1500,0,0.425216,151.907,1.79578,10113,0
6.12564,303.222,979,1510,1500,0,-0.0317032,152.039,1.78639,10214,0
29.1381,291.557,985,1510,1500,0,-0.0733331,152.067,1.77809,10314,0
35.4807,295.571,980,1512,1500,0,0.284978,152.529,1.79614,10414,0
