PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
93.9771,-240.909,2606,1523,1605,0,0.374547,-144.209,25.9016,0,0
70.4909,-213.1,2650,1490,1605,0,0.433892,-144.315,26.0728,100,0
47.7613,-200.922,2667,1488,1605,0,0.000707938,-144.341,25.9328,200,0
52.2349,-176.944,2707,1511,1605,0,-0.0973016,-144.056,25.8923,300,0
38.5946,-162.95,2727,1511,1605,0,-0.452819,-143.792,25.8995,400,0
6.86679,-105.039,2724,1474,1605,0,-0.486533,-143.562,25.9124,500,0
-22.7466,-110.036,2722,1474,1605,0,-0.324517,-143.731,26.0053,600,0
-42.0778,-129.965,2725,1477,1605,0,-0.188868,-144.11,25.857,700,0
-57.2615,-73.4214,2714,1478,1605,0,-0.0904641,-144.369,25.9064,801,0
-101.561,-60.337,2679,1478,1605,0,0.083342,-144.865,26.0117,901,0
-146.468,-150.238,2691,1439,1605,0,-0.0278023,-144.646,26.2068,1001,0
-218.484,-89.3931,2668,1439,1605,0,3.04118,-140.893,26.8201,1101,0
-261.847,-148.007,2653,1405,1605,0,3.9564,-137.288,26.6393,1201,0
-307.078,-182.297,2678,1405,1605,0,3.9564,-137.288,26.7289,1301,0
-372.586,-95.3905,2660,1387,1605,0,6.8626,-132.097,26.8944,1401,0
